title,Release_date,Running_time,Country,Box office,Directed by,Produced by,Written by,imdb,metascore,rotten_tomatoes,Awards
Jungle 2 Jungle,1997-03-07,105,,"$59,927,618",John Pasquin,"['Produced by', 'Richard Baker', 'Brad Krevoy']","['Written by', 'Bruce A. Evans', 'Raynold Gideon']",5.2,42,19%,3 nominations.
Hercules,1997-06-13,93,United States,"$99,112,101","['Ron Clements', 'John Musker']","['Alice Dewey', 'Ron Clements', 'John Musker']",,7.3,74,84%,Nominated for 1 Oscar. Another 9 wins & 15 nominations.
George of the Jungle,1997-07-16,92,United States,"$105,263,257",Sam Weisman,"['Produced by', 'David Hoberman', 'Jordan Kerner', 'Jon Avnet']",,5.5,53,56%,1 win & 3 nominations.
Air Bud,1997-08-01,98,,"$23,144,499",Charles Martin Smith,"['Produced by', 'Robert Vince', 'William Vince']","['Written by', 'Paul Tamasy', 'Aaron Mendelsohn']",5.2,N/A,45%,4 wins & 3 nominations.
RocketMan,1997-10-10,95,United States,"$96,368,160",Stuart Gillard,Roger Birnbaum,"['Written by', 'Oren Aviv', 'Craig Mazin', 'Greg Erb']",7.3,69,,Won 1 Oscar. Another 20 wins & 76 nominations.
Flubber,1997-11-16,93,United States,"$92,977,226",Les Mayfield,"['John Hughes', 'Ricardo Mestres']",,5.3,37,24%,3 wins & 2 nominations.
Mr. Magoo,1997-12-25,87,United States,"$21,437,192",Stanley Tong,Ben Myron,"['Pat Proft', 'Tom Sherohman']",4.0,18,7%,2 nominations.
Meet the Deedles,1998-03-27,93,United States,"$4,356,216",Steve Boyum,"['Dale Pollock', 'Aaron Meyerson']",Jim Herzfeld,4.1,N/A,7%,1 win & 2 nominations.
Mulan,1998-06-19,87,United States,"$120,620,254","['Barry Cook', 'Tony Bancroft']",Pam Coats,,7.6,71,86%,Nominated for 1 Oscar. Another 17 wins & 20 nominations.
The Parent Trap,1998-07-29,128,United States,"$66,308,518",Nancy Meyers,Charles Shyer,,6.5,64,86%,2 wins & 7 nominations.
I'll Be Home for Christmas,1998-11-13,86,United States,"$12,214,338",Arlene Sanford,"['Robin French', 'Justis Greene', 'David Hoberman', 'Tracey Trench']",,5.5,N/A,23%,N/A
A Bug's Life,1998-11-20,95,United States,"$162,798,565",John Lasseter,"['Darla K. Anderson', 'Kevin Reher']",,7.2,77,92%,Nominated for 1 Oscar. Another 14 wins & 20 nominations.
Mighty Joe Young,1998-12-25,114,United States,"$50,632,037",Ron Underwood,"['Produced by', 'Ted Hartley', 'Tom Jacobson']",,5.6,51,55%,Nominated for 1 Oscar. Another 1 win & 3 nominations.
My Favorite Martian,1999-02-12,93,United States,"$36,850,101",Donald Petrie,"['Produced by', 'Jerry Leider', 'Robert Shapiro', 'Marc Toberoff']","['Written by', 'Sherri Stoner', 'Deanna Oliver']",5.1,33,12%,3 nominations.
Doug's 1st Movie,1999-03-26,83,United States,"$19,440,089",Maurice Joyce,"['Produced by', 'David Campbell', 'Melanie Grisanti', 'Jim Jinkins', 'Bruce Knapp', 'Jack Spillum']",,5.0,N/A,26%,1 nomination.
Endurance,1999-05-14,83,,N/A,"['Directed by', 'Leslie Woodhead', 'Bud Greenspan']","['Produced by', 'Terrence Malick', 'Max Palevsky', 'Edward R. Pressman']",,7.3,N/A,100%,N/A
